id,level,surface,reading_kana,meaning_ko,display_surface,decision,evidence,collides_with,example_jp
w_05806d8778786e6e,N5,しゃしん,しゃしん,사진,写真,example-exact,unique JMdict form occurs in curated example,w_02ed6d62e248827b,この写真を拡大してください。
w_85f9dd6060389151,N5,じょうぶ,じょうぶ,튼튼함,丈夫,example-exact,unique JMdict form occurs in curated example,,彼は丈夫なたちだ
w_4a71718d7be3875a,N5,けす,けす,(불을) 끄다,消す,example-exact,unique JMdict form occurs in curated example,w_46f4a926941aa00f,水をかけて火を消す
w_9b26b06b04353c7e,N5,まいしゅう,まいしゅう,매주,毎週,example-exact,unique JMdict form occurs in curated example,,彼は毎週山に登る.
w_b621bc708ba80edb,N5,じしょ,じしょ,사전,辞書,example-exact,unique JMdict form occurs in curated example,,辞書で単語の意味を探した.
w_1643e2acabb6bed2,N5,ほそい,ほそい,가늘다,細い,example-exact,unique JMdict form occurs in curated example,w_e928239923f76996,線のように細い
w_c9f37118e390cfee,N5,みがく,みがく,(이를) 닦다,磨く,example-exact,unique JMdict form occurs in curated example,w_42ee94816d70a67e,歯を磨く; 歯磨きをする
w_961e8495d97af933,N5,わすれる,わすれる,잊다,忘れる,example-exact,unique JMdict form occurs in curated example,w_2f41bf48aae2a583,いやなことはさらりと忘れる.
w_d75a2128ac2e3e18,N5,ならべる,ならべる,진열하다,並べる,example-exact,unique JMdict form occurs in curated example,,商品を店頭に並べる
w_f2cac506608d8950,N5,ごぜんちゅう,ごぜんちゅう,오전 내내,午前中,example-exact,unique JMdict form occurs in curated example,,仕事を午前中にやっつける
w_17c2769bec0dd3c4,N5,およぐ,およぐ,헤엄치다,泳ぐ,example-exact,unique JMdict form occurs in curated example,,金魚がゆらりと泳ぐ.
w_25d246fcafff391e,N5,おてあらい,おてあらい,화장실,お手洗い,example-exact,unique JMdict form occurs in curated example,,お手洗いのタオルを使い捨てのペーパータオルに変更する
w_991b3f178bb17c4b,N5,まがる,まがる,"돌다, (방향을) 틀다",曲がる,example-exact,unique JMdict form occurs in curated example,,路地を突き当たって右に曲がる.
w_afd06155d77947af,N5,けいかん,けいかん,경관,警官,example-exact,unique JMdict form occurs in curated example,,警官に見とがめられる.
w_3f5f8950779c095c,N5,せんたくする,せんたくする,세탁하다,洗濯する,manual-context,meaning and inflection reviewed,,着物の縫い目をほどいて洗濯する.
w_a1a38e164f0a3264,N5,はちじゅうえん,はちじゅうえん,80엔,八十円,manual-context,meaning and inflection reviewed,,このえんぴつははちじゅうえんです。
w_27f194a34e98e0b0,N4,ゲーム,ゲーム,게임,,keep-kana,ambiguous or no common kanji form,,これ以上に糞ゲームってある？
w_fe954a6bef42344a,N4,くれる,くれる,(나에게) 주다,,needs-review,ambiguous or no common kanji form,,目に物見せてくれる
w_45e6afe394050228,N4,アメリカ,アメリカ,미국,,needs-review,ambiguous or no common kanji form,,東京を経てアメリカに帰る.
w_486d794e67b43b00,N4,はず,はず,"~일 것이다, ~해야 한다",筈,example-exact,unique JMdict form occurs in curated example,,その人ならできる筈だ
w_3ec592997b865dca,N4,やっぱり,やっぱり,역시,,needs-review,ambiguous or no common kanji form,,その仕事はやっぱりわたしには無理だ.
w_cb00cd37f1c38658,N4,だから,だから,"그러니까, 그래서",,keep-kana,ambiguous or no common kanji form,,だから、病気になったのだ
w_9dc889bbbcb824da,N4,ほとんど,ほとんど,"대부분, 거의",殆ど,jmdict-unambiguous,common JMdict form,,ほとんど死に瀕した
w_cbd7bfb69667bf89,N4,まず,まず,"먼저, 우선",先ず,example-exact,unique JMdict form occurs in curated example,,先ず以て報告に来るべきだ
w_2bc4b215ecdc92f2,N4,チェック,チェック,"체크, 점검",,keep-kana,ambiguous or no common kanji form,,施術前に毛量や毛質、肌質などを細かくチェックする
w_d709df1abacda2e3,N4,つもり,つもり,"의도, 계획",,needs-review,ambiguous or no common kanji form,,十時に寝るつもりだ
w_d449fd0042d0816c,N4,もし,もし,만약,,needs-review,ambiguous or no common kanji form,,もしやあの人ではと胸が騒いだ.
w_c5ae09d783203646,N4,しっかりしている,しっかりしている,"착실하다, 다부지다",,keep-kana,ambiguous or no common kanji form,,値段は目先しっかりしている.
w_64df6e045aa7c770,N4,きっと,きっと,"확실히, 의심할 여지 없이",,needs-review,ambiguous or no common kanji form,,きっとそうだ
w_d1f69f3aa5b47854,N4,もらう,もらう,받다,貰う,example-exact,unique JMdict form occurs in curated example,,この机は僕が貰う
w_328b3a4907a4cb55,N4,または,または,또는,又は,jmdict-unambiguous,common JMdict form,,"願書は持参するか,または郵送してください"
w_082b84701552dac0,N4,けれど,けれど,"하지만, 그러나",,keep-kana,ambiguous or no common kanji form,,金はある。けれどもひまがない
w_9e9c55cf8360497d,N4,プレゼント,プレゼント,선물,,keep-kana,ambiguous or no common kanji form,,プレゼントです。
w_ae771b4fd6bc8a90,N4,だめ,だめ,"안 됨, 불가능함",駄目,example-exact,unique JMdict form occurs in curated example,,機械が駄目になる
w_a2adf1cb9c70191e,N4,あげる,あげる,주다,上げる,example-exact,unique JMdict form occurs in curated example,,書いて上げる
w_901a3275a5a22df0,N4,ゆっくりと,ゆっくりと,천천히,,keep-kana,ambiguous or no common kanji form,,その歌手がゆっくりと舞台の中央に歩み出ると、観客の拍手がわき起こった
w_6ea8c8dbd447c1ac,N4,おかげさまで,おかげさまで,덕분에,お陰様で,jmdict-unambiguous,common JMdict form,,おかげさまでようよう歩けるようになりました.
w_1ae8c4e5ec07e559,N4,ビル,ビル,건물(약어),,keep-kana,ambiguous or no common kanji form,,駅ビルに出店する
w_10bb84681c578e93,N4,なるほど,なるほど,"과연, 그렇구나",,needs-review,ambiguous or no common kanji form,,"なるほど,それは名案だ."
w_e4bb87bdfaec5058,N4,どんどん,どんどん,쑥쑥,,keep-kana,ambiguous or no common kanji form,,質問がどんどん(と)出た
w_188cc4ec3c57d0e8,N4,ガス,ガス,가스,,needs-review,ambiguous or no common kanji form,,ガスがかかる
w_f47ff1eed7e97a5c,N4,さっき,さっき,아까,,keep-kana-reviewed,explicit modern-kana preference,,さっき、彼女にチョクったんだ
w_1a03ede5b3ef08ab,N4,やっと,やっと,"겨우, 간신히",,needs-review,ambiguous or no common kanji form,,話がやっと本論に入る
w_abe8ce16dbbe2552,N4,ひどい,ひどい,"끔찍한, 대단한, 불공평한, 잔인한",酷い,example-exact,unique JMdict form occurs in curated example,,酷い目に遭わせる
w_7a32f316cd4a9222,N4,それで,それで,그래서,,needs-review,ambiguous or no common kanji form,,風邪を引いた。 それで休んだ
w_4407cb271d83b95a,N4,パソコン,パソコン,컴퓨터,,keep-kana,ambiguous or no common kanji form,,パソコンを習わせる
w_98601c5f9fe56540,N4,うまい,うまい,"(1) 맛있다, (2) 능숙하다",,keep-kana-reviewed,explicit modern-kana preference,,初めての挑戦ですが、1ラウンドと2ラウンドチャンピオンがうまいです。
w_8794ea0733093080,N4,びっくりする,びっくりする,놀라다,,keep-kana,ambiguous or no common kanji form,,身がすくむほどびっくりする.
w_2f22a51db540eabf,N4,アジア,アジア,아시아,,needs-review,ambiguous or no common kanji form,,東南アジア市場の拡大に注力する
w_ee0e6a8ae62194a4,N4,ケーキ,ケーキ,케이크,,keep-kana,ambiguous or no common kanji form,,ケーキを八つに分ける
w_1b6764cdacb5aa11,N4,スーツ,スーツ,"정장, 슈트",,keep-kana,ambiguous or no common kanji form,,チャコールグレースーツに赤いネクタイが映える
w_8be88d55282fef3e,N4,パパ,パパ,아빠,,keep-kana,ambiguous or no common kanji form,,これで、私もパパになりました。
w_2539ca8094dbd583,N4,チケット,チケット,"티켓, 표",,keep-kana,ambiguous or no common kanji form,,インターネットであらかじめチケットを予約すれば、チケット売り場に並んでチケットを買う手間を省くことができる。
w_b6d40355b557d202,N4,ガラス,ガラス,유리,,needs-review,ambiguous or no common kanji form,,ガラス戸をがらりと開ける
w_1321e85d33a3b099,N4,コンサート,コンサート,콘서트,,keep-kana,ambiguous or no common kanji form,,このコンサートは、オリンピックムーブメントの一環として開催された
w_ea7d40f28b87ae4b,N4,テニス,テニス,테니스,,keep-kana,ambiguous or no common kanji form,,水泳は言うまでもなくテニスもよくできる.
w_b4d23f4f4fb20992,N4,ベル,ベル,"종, 벨",,keep-kana,ambiguous or no common kanji form,,アパートの階ごとに非常ベルが取りつけられている.
w_6adb23638ce7da0e,N4,レポート,レポート,리포트,,keep-kana,ambiguous or no common kanji form,,レポート提出をネグる
w_1ed0622bed06b6ac,N4,アフリカ,アフリカ,아프리카,,needs-review,ambiguous or no common kanji form,,アフリカの秘境をレポする.
w_16699f6292844bcd,N4,オーバー,オーバー,"오버코트; 초과, 과장",,keep-kana,ambiguous or no common kanji form,,オーバーを着込む
w_7c16b84742ec7d12,N4,すっかり,すっかり,"전부, 모두, 완전히",,keep-kana,ambiguous or no common kanji form,,"実は,すっかり忘れていた"
w_5d44d44a212aa9b3,N4,うそです,うそです,거짓말입니다,嘘です,manual-context,meaning and inflection reviewed,,それは真っ赤な嘘です
w_93dcc4efaa4ffbd4,N4,おもちゃ,おもちゃ,장난감,玩具,example-exact,unique JMdict form occurs in curated example,,部屋中に玩具を散らかす
w_16f928e8de2043ff,N4,アルバイト,アルバイト,아르바이트,,keep-kana,ambiguous or no common kanji form,,アルバイトをして家計を助ける.
w_66c87676a778f34f,N4,おや,おや,어라!,,keep-kana-reviewed,explicit modern-kana preference,,親に死なれる
w_024079311e55aa98,N4,テキスト,テキスト,"본문, 교재",,keep-kana,ambiguous or no common kanji form,,テキストボックスの枠線が消えた
w_4845600465ed917d,N4,いただく,いただく,받다(겸양어),頂く,example-exact,unique JMdict form occurs in curated example,,お土産を頂く
w_d71bc7586cff3f68,N4,サラダ,サラダ,샐러드,,keep-kana,ambiguous or no common kanji form,,果物を皿[サラダを小皿]に取り分ける.
w_ec666a473c6c95cc,N4,なるべく,なるべく,"되도록, 가능한 한",,keep-kana-reviewed,explicit modern-kana preference,,なるべく簡潔に話を済ませる
w_7d5921f33cc2cfff,N4,ガソリン,ガソリン,휘발유,,keep-kana,ambiguous or no common kanji form,,ガソリンを満タンにして出発した.
w_32b6716e6d619778,N4,レジ,レジ,"계산대, 레지스터",,keep-kana,ambiguous or no common kanji form,,家内を店のレジに座らせる.
w_7741f337155794b3,N4,コンピューター,コンピューター,컴퓨터,,keep-kana,ambiguous or no common kanji form,,コンピューターを取り扱う手際が上手だ.
w_ee0fa7304b0545a8,N4,スクリーン,スクリーン,"화면, 스크린",,keep-kana,ambiguous or no common kanji form,,スマホ画面の縁をなぞるだけでスクリーンショットが撮れる
w_243717f739c5a6b1,N4,ステーキ,ステーキ,스테이크,,keep-kana,ambiguous or no common kanji form,,この店はステーキで有名になりました。
w_2e1101ee126c77c4,N4,とうとう,とうとう,드디어,,keep-kana-reviewed,explicit modern-kana preference,,3時間も待ったが、とうとう彼は来なかった
w_306ddbd039779417,N4,それに,それに,게다가,,needs-review,ambiguous or no common kanji form,,晴れたし、それに風もなかった
w_4f147f1212bea594,N4,アナウンサー,アナウンサー,아나운서,,keep-kana,ambiguous or no common kanji form,,彼女は現在、フリーアナウンサーとして活動している
w_cb46428b5693ae56,N4,すると,すると,"그때, 그러면",,keep-kana,ambiguous or no common kanji form,,扉が開いた。すると、その人が中から現れた
w_04d5f5cb597c1c62,N4,いらっしゃる,いらっしゃる,"존경어, 존대 표현 위한",,keep-kana-reviewed,explicit modern-kana preference,,お母さんは明日いらっしゃるとおっしゃった.
w_7bbc01295f752849,N4,ごみ,ごみ,쓰레기,,needs-review,ambiguous or no common kanji form,,ごみの捨て所がない.
w_97e7d7c923d83b1c,N4,アイディア,アイディア,아이디어,,keep-kana,ambiguous or no common kanji form,,頭が煮詰まっていいアイディアが浮かばない
w_a492d05c86081587,N4,カーテン,カーテン,커튼,,keep-kana,ambiguous or no common kanji form,,カーテンを掛けないと道から素通しだ.
w_8409c8697b8b3079,N4,アクセサリー,アクセサリー,액세서리,,keep-kana,ambiguous or no common kanji form,,お揃いのアクセサリーを身につける
w_8a50b9d0ef8fb7b7,N4,ハンバーグ,ハンバーグ,햄버거 스테이크,,keep-kana,ambiguous or no common kanji form,,豆腐ハンバーグは健康にいいのですがどうしても普通のハンバーグが食べたくなるときがあります。
w_c86653591778887f,N4,ジャム,ジャム,잼,,keep-kana,ambiguous or no common kanji form,,パンにジャムを付ける.
w_be85f3d35d6b8b68,N4,サンドイッチ,サンドイッチ,샌드위치,,keep-kana,ambiguous or no common kanji form,,液晶ディスプレーというのは，二枚のガラス板のすき間に液晶という特殊な液体をサンドイッチしたものである
w_c1395761ef105cb2,N4,やせましたね,やせましたね,살이 빠졌네요,痩せましたね,manual-context,meaning and inflection reviewed,,久しぶりに会った友達に「やせましたね」と言われました。
w_e98b841eff2444ea,N4,ステレオ,ステレオ,스테레오,,keep-kana,ambiguous or no common kanji form,,ステレオは二つのスピーカーから互いに違う音を出すことで音響をリアルに再生することができる。
w_04bbfe9d5df156d4,N4,サンダル,サンダル,샌들,,keep-kana,ambiguous or no common kanji form,,彼女は花柄ワンピースに、フリンジが付いたプラットホームサンダルを合わせた
w_882a31f37a05a290,N4,ぶどう,ぶどう,포도,,needs-review,ambiguous or no common kanji form,,赤ぶどう酒を1本空ける
w_339aec6708f5b601,N4,スーツケース,スーツケース,"여행가방, 캐리어",,keep-kana,ambiguous or no common kanji form,,彼女はスーツケースを手にとって，搭乗ゲートの人の列のうしろについた
w_cd41f85563b3a206,N4,エスカレーター,エスカレーター,에스컬레이터,,keep-kana,ambiguous or no common kanji form,,エンジニアはエスカレーターの修理を終えた後、エスカレーターがちゃんと反転するのか確認した。
w_0e193c3cc307bb6f,N4,ちっとも,ちっとも,전혀(부정 동사),,needs-review,ambiguous or no common kanji form,,ちっとも黙っておらない
w_4a75a3682bcdd4b1,N4,かまいません,かまいません,괜찮습니다,構いません,example-exact,unique JMdict form occurs in curated example,w_ce285518225afb6d,明晩なら来ても構いません
w_f4cd6fcb686d7713,N4,ガソリンスタンド,ガソリンスタンド,주유소,,keep-kana,ambiguous or no common kanji form,,車のガソリンが切れたため、ガソリンスタンドに行ってガソリンを入れた。
w_b6a0b9341a1603b2,N4,オートバイ,オートバイ,오토바이,,keep-kana,ambiguous or no common kanji form,,オートバイに飛び乗って逃げる.
w_e2165c4745c4e5fa,N4,おとなしい,おとなしい,얌전하다,大人しい,example-exact,unique JMdict form occurs in curated example,,家では大人しい
w_2afc4f4102d1bf3f,N4,けんか,けんか,싸움,喧嘩,manual-homophone,meaning-sensitive JMdict choice,,"互いに言い募ったあげく,けんかになった."
w_512fde07bc888caa,N4,けんかする,けんかする,싸움,,keep-kana,ambiguous or no common kanji form,,どたどた(と)とっ組んでけんかする.
w_dba5ddfd94c5dbca,N4,すっと,すっと,"곧장, 똑바로, 빨리",,keep-kana,ambiguous or no common kanji form,,いつのまにか雪がすっと溶けてしまった.
w_6f5d32495c167657,N4,なさる,なさる,하시다(존경어),,needs-review,ambiguous or no common kanji form,,父上はすべてのことを直接ご自身でなさる.
w_6f3c0426d5e18caa,N4,やわらかい,やわらかい,부드럽다,柔らかい,example-exact,unique JMdict form occurs in curated example,w_9a69e415985ac07b,この布地は生地が柔らかい.
w_dc0b78fec5acb3d8,N4,さびしい,さびしい,"쓸쓸하다, 외롭다",寂しい,example-exact,unique JMdict form occurs in curated example,w_28791ccc16b6f97b,親に死なれて寂しい
w_dbe3e7e377657834,N4,ワープロ,ワープロ,워드프로세서,,keep-kana,ambiguous or no common kanji form,,はい、私はワープロを持ってます。
w_71d51d40bd252269,N4,きびしい,きびしい,"엄하다, 엄격하다",厳しい,example-exact,unique JMdict form occurs in curated example,w_1b23bca76df0323b,手タレの条件は厳しい。指が細くて長いのはもちろん，色白で節がないこと
w_96b7c0f92f57641f,N4,パートタイム,パートタイム,파트타임,,keep-kana,ambiguous or no common kanji form,,私は学校に通いながらパートタイムで会社で仕事もした。
w_8055df2a8ee6ed9e,N4,うかがう,うかがう,"묻다, 부탁하다",,needs-review,ambiguous or no common kanji form,,鍵穴から中をうかがう.
w_8619b2bfc1bda7fc,N4,いたす,いたす,하다(겸양어),致す,example-exact,unique JMdict form occurs in curated example,w_c10a94ad3bf74d6b,人を死に致す
w_7d52aa26e8ea1bff,N4,あやまりました,あやまりました,사과했습니다,謝りました,manual-context,meaning and inflection reviewed,,約束に遅れたので、友達にあやまりました。
w_1cda3de6e8bb6711,N4,さしあげる,さしあげる,드리다(경어),差し上げる,example-exact,unique JMdict form occurs in curated example,w_97a3b823f67674e9,お礼の手紙を差し上げる
w_089e5e37dd2ccd76,N4,いっしょうけんめい,いっしょうけんめい,열심히,一生懸命,example-exact,unique JMdict form occurs in curated example,w_b8c392e0ced001dc,息子と娘を生んで一生懸命暮らした.
w_9f4e85bedd654fca,N4,きけんです,きけんです,위험합니다,危険です,manual-context,meaning and inflection reviewed,,ふぐには毒があるので素人の料理は危険です。
w_82efffce3d2c635a,N4,たいいんする,たいいんする,퇴원하다,退院する,manual-context,meaning and inflection reviewed,,完治して退院する.
w_dc3906550d4c187f,N4,まちがえやすい,まちがえやすい,틀리기 쉽다,間違えやすい,manual-context,meaning and inflection reviewed,,読み間違えやすい漢字
w_25b648bf778c94cd,N3,する,する,하다,,needs-review,ambiguous or no common kanji form,,10分の1に縮尺する.
w_f225f8353368badf,N3,わけ,わけ,이유,訳,example-exact,unique JMdict form occurs in curated example,w_83ae7074dc030eb4,欠席した訳を言うのが順だ
w_8aa654b726b3973b,N3,しまう,しまう,"치우다, 안에 넣다",,needs-review,ambiguous or no common kanji form,,おもちゃを仕舞う
w_0eb7fb9f9547d8f1,N3,いつも,いつも,항상,,keep-kana-reviewed,explicit modern-kana preference,,いつも敵役にまわる
w_16b5e002c7a1d2f2,N3,そのうち,そのうち,머지않아,その内,jmdict-unambiguous,common JMdict form,,男は「イエスの再臨が近づいてきて、世界はそのうち終焉に至る」と言った。
w_4d69f0da34b2cf58,N3,まご,まご,손자,孫,example-exact,unique JMdict form occurs in curated example,w_67b726b2a8728054,孫を早く得たいものだ.
w_7cd203c92785ebef,N3,ずっと,ずっと,"쭉, 계속; 훨씬",,keep-kana,ambiguous or no common kanji form,,目がずっとちくちくしていたが、目薬をさしてしばらくしたら、だいぶ楽になった。
w_dd6cfb328dbd2400,N3,せい,せい,"원인, 이유, 잘못, 결함",,keep-kana-reviewed,explicit modern-kana preference,,習い、性となる
w_1557e553aea269a3,N3,もちろん,もちろん,물론,勿論,jmdict-unambiguous,common JMdict form,,彼は英語はもちろんのことフランス語もできる.
w_65567f562d1637de,N3,ちゃんと,ちゃんと,"제대로, 확실히",,keep-kana,ambiguous or no common kanji form,,サザエのつぼ焼きは食べる前に食べ方を教えてもらわないとちゃんと食べられないことがあります。
w_1c4e9708ae69cbb7,N3,すべて,すべて,모두,全て,jmdict-unambiguous,common JMdict form,w_cefba8d96d3392c2,人間はすべて法の前に平等である.
w_3ef3013e7a8e4116,N3,すべての,すべての,모든,全ての,manual-context,meaning and inflection reviewed,,この社会からすべての罪人を誅滅する.
w_8482bd5323c88fa3,N3,カード,カード,카드,,keep-kana,ambiguous or no common kanji form,,会員カードがあります。
w_668cba7ff473553a,N3,イメージ,イメージ,이미지,,keep-kana,ambiguous or no common kanji form,,お客様に悪いイメージを与えたくない.
w_9f019ac84d1a7128,N3,サービス,サービス,"서비스, 무료 제공",,keep-kana,ambiguous or no common kanji form,,ヤン社長は、会員らと1年間、無料でサービスを提供すると約定した。
w_3ad346e39e2ff177,N3,つまり,つまり,"즉, 다시 말해",,keep-kana-reviewed,explicit modern-kana preference,,彼は曇った日、つまり雨や風が適切な日を選んで写真を撮る。
w_42e866c37406b5ad,N3,メンバー,メンバー,"구성원, 회원",,keep-kana,ambiguous or no common kanji form,,ロ：うちのサークルのメンバーはお互い気がよく合うんだ。
w_cf44989e0ac5563a,N3,チェックする,チェックする,체크하다,,keep-kana,ambiguous or no common kanji form,,出席をチェックする。
w_71734773320f58ba,N3,しっかり,しっかり,"단단히, 꽉, 제대로",,needs-review,ambiguous or no common kanji form,,年はとっても足はしっかりしている
w_18a15a1c8844b218,N3,そのまま,そのまま,그대로,,keep-kana-reviewed,explicit modern-kana preference,,彼の笑顔はまったく童顔そのままだ.
w_156a7a5dffb72ac5,N3,それぞれ,それぞれ,각각,,needs-review,ambiguous or no common kanji form,,人にはそれぞれ向き不向きがある.
w_9e5e37d7e879c72a,N3,グループ,グループ,"그룹, 집단",,keep-kana,ambiguous or no common kanji form,,レース後半も先頭グループとメイン集団とのタイム差は1分台と相変わらなかった。
w_74ceac84fb765eab,N3,セット,セット,세트,,keep-kana,ambiguous or no common kanji form,,三つでセットになっている.
w_d5f8141da5f9b6f9,N3,コード,コード,"코드, 규약",,keep-kana,ambiguous or no common kanji form,,メモ帳で制御コードを入力する
w_672b201b0d3b2ec1,N3,おかしい,おかしい,이상하다,,needs-review,ambiguous or no common kanji form,,ちょっとおかしい事になっている
w_25dd9dc478c947cd,N3,テーマ,テーマ,"주제, 테마",,keep-kana,ambiguous or no common kanji form,,宇宙をテーマに曲作りをする
w_64d1fd1365d78128,N3,わかりやすい,わかりやすい,알기 쉽다,,needs-review,ambiguous or no common kanji form,,分かりやすい例えを使って説明する
w_66cc4fca408401b0,N3,ママ,ママ,엄마,,keep-kana,ambiguous or no common kanji form,,これで、私もママになりました。
w_16bb47fc2f77a4c7,N3,サイズ,サイズ,사이즈,,keep-kana,ambiguous or no common kanji form,,サイズが合いません。
w_a27d455fe2eef037,N3,スタイル,スタイル,스타일,,keep-kana,ambiguous or no common kanji form,,このスタイルはもう流行らない
w_7a351a9f11bcc39f,N3,そろそろ,そろそろ,슬슬,,keep-kana,ambiguous or no common kanji form,,そろそろスイカ(水瓜)が出るころだ
w_c07355323d29e4ab,N3,まったく,まったく,전혀,全く,jmdict-unambiguous,common JMdict form,w_2c314e0899617574,指にまったく感覚がない.
w_8fdcc4961a0171a0,N3,スター,スター,별,,keep-kana,ambiguous or no common kanji form,,スターになる
w_8ff15ccaaa16be1d,N3,アルバム,アルバム,앨범,,keep-kana,ambiguous or no common kanji form,,アルバムの表紙が日に焼ける
w_9a63e40ea88a885c,N3,しばらく,しばらく,잠시,暫く,jmdict-unambiguous,common JMdict form,,仕事の手を休めてしばらく休息する.
w_ba89429f60737539,N3,エネルギー,エネルギー,에너지,,keep-kana,ambiguous or no common kanji form,,太陽エネルギーを電気に変換する.
w_08cdbe4932bb3c07,N3,チャンス,チャンス,"기회, 찬스",,keep-kana,ambiguous or no common kanji form,,チャンスを見逃した
w_e55ed4f6c0478c54,N3,ケース,ケース,"경우, 사례",,needs-review,ambiguous or no common kanji form,,さまざまなケースを例示して説明する.
w_2b4dfaa297bb70d2,N3,エンジン,エンジン,엔진,,keep-kana,ambiguous or no common kanji form,,車のエンジンの音がぶんぶんと鳴る.
w_729f291cb71c2dcc,N3,ミス,ミス,"실수, 미스",,needs-review,ambiguous or no common kanji form,,今日もラインの読み違いは無かったけれど、ストロークのミスがありました。
w_0411ab62ab973eb3,N3,カバー,カバー,"커버, 덮개",,keep-kana,ambiguous or no common kanji form,,カバーを少し持ち上げて中をのぞいてみる.
w_617986ba153ebe08,N3,インタビュー,インタビュー,인터뷰,,keep-kana,ambiguous or no common kanji form,,当時の記録，住民のインタビューの分析などを通じて，ナチズムが「ドイツ庶民」にどう受け取られ，どんな風に浸透していったかが考察されている
w_2cb60f5afdc9fb67,N3,くせ,くせ,버릇,癖,example-exact,unique JMdict form occurs in curated example,w_111d2464a080f298,だだをこねる癖がある.
w_fc1994f9fa849063,N3,オフィス,オフィス,사무실,,keep-kana,ambiguous or no common kanji form,,オフィスが，ＧＨＱの隣で，コーン・パイプをくわえたマッカーサーをよく見かけました
w_776127b5e47c3418,N3,カー,カー,"차, 자동차",,keep-kana,ambiguous or no common kanji form,,フロン類は，冷蔵庫やカー・エア・コンの冷媒や断熱材に使われている
w_bb155fd3f44b4abd,N3,クリスマス,クリスマス,크리스마스,,keep-kana,ambiguous or no common kanji form,,パイプオルガンのあるチャペルでは，クリスマスにはキャンドル・サービスを行ないます
w_bb82ebdcacdf5f3e,N3,かんたんな,かんたんな,간단한,簡単な,manual-context,meaning and inflection reviewed,,中庸とは決して、足して二で割る式の簡単なものではない
w_46383522b3acf1c9,N3,あらゆる,あらゆる,"모든, 온갖",,needs-review,ambiguous or no common kanji form,,あらゆる苦労をなめてきた.
w_02120114862d3c4a,N3,すきだ,すきだ,좋아하다,好きだ,manual-context,meaning and inflection reviewed,,絵を描くのがすきだ。
w_8ced55e5dccd8e1b,N3,サイン,サイン,"사인, 서명; 신호",,keep-kana,ambiguous or no common kanji form,,ここにサイン、お願いします。
w_75085f66ce060b20,N3,ヨーロッパ,ヨーロッパ,유럽,,needs-review,ambiguous or no common kanji form,,ヨーロッパ諸国を歴訪する.
w_105efa07618d8026,N3,きちんと,きちんと,정확히,,keep-kana,ambiguous or no common kanji form,,時間をきちんと守る.
w_92f2cceffefa8a7e,N3,チャレンジ,チャレンジ,"챌린지, 도전",,keep-kana,ambiguous or no common kanji form,,ユーチューブを通じてアイスバケツチャレンジに挑戦した映像を公開した女優
w_ad5cc82e7991ff51,N3,メモ,メモ,"메모, 주석",,keep-kana,ambiguous or no common kanji form,,電子メモタブレットで作成したメモを印刷する
w_128d29f45bc02c6a,N3,だいたい,だいたい,대략,大体,manual-homophone,meaning-sensitive JMdict choice,w_ce2b7c1de446f647,大体[ほぼ]次のとおりである
w_fec5985f6767757f,N3,ゴール,ゴール,목표,,keep-kana,ambiguous or no common kanji form,,サッカーでアタッカーの目標はゴールを決めることだ。
w_0e85c73b6c150596,N3,アイデア,アイデア,아이디어,,keep-kana,ambiguous or no common kanji form,,"年を取って頭が働かなくなり,いいアイデアが浮かばない."
w_903e5145aa609f5d,N3,いらっしゃい,いらっしゃい,환영,,keep-kana,ambiguous or no common kanji form,,いらっしゃい。楽にしてください。
w_ad627d920f9f817c,N3,スイッチ,スイッチ,스위치,,keep-kana,ambiguous or no common kanji form,,門の前で立ち止まりインターホンのスイッチを押した.
w_9e3481dc47d209d0,N3,やめる,やめる,그만두다,辞める,example-exact,unique JMdict form occurs in curated example,w_da535a991def07ed,思い切って仕事を辞める
w_9a227b930a63af01,N3,コーチ,コーチ,코치,,keep-kana,ambiguous or no common kanji form,,サッカーチームをコーチする.
w_326aea9cf6cffa08,N3,キャンプ,キャンプ,"캠프, 진영",,keep-kana,ambiguous or no common kanji form,,キャンプ生活をする.
w_71054613e3ca4e9f,N3,たっぷり,たっぷり,"듬뿍, 충분히",,keep-kana,ambiguous or no common kanji form,,飯をおわんにたっぷり盛る
w_c4183df97780a7e1,N3,マナー,マナー,매너,,keep-kana,ambiguous or no common kanji form,,マナーの悪さに眉を顰める
w_76fadfa2f7cff0ca,N3,こわい,こわい,무섭다,怖い,example-exact,unique JMdict form occurs in curated example,w_f7e7cb647a4e4a2d,日本の落語には、「饅頭怖い」という面白い話があります。
w_4dde3428187bb98a,N3,たまたま,たまたま,우연히,,needs-review,ambiguous or no common kanji form,,キム博士は、たまたま偶然その理論を発見した。
w_3d3ebf43e5e3e709,N3,アドバイス,アドバイス,"어드바이스, 충고",,keep-kana,ambiguous or no common kanji form,,イ：私のアドバイスを無視しないでください。
w_6137a9f052a73aa2,N3,そっくり,そっくり,똑같이 생김,,keep-kana,ambiguous or no common kanji form,,彼の家族はみんな一様に顔がそっくりだ。
w_a1d24bae2917d6bb,N3,ぴったり,ぴったり,"딱(밀착함, 어울림)",,keep-kana,ambiguous or no common kanji form,,この色はあの人にぴったりする
w_03d47d9381223e3a,N3,きつい,きつい,힘들다,,keep-kana,ambiguous or no common kanji form,,体がきつい。
